model,phase,magnitude_cm,force_N,episode,trigger_step,fired,success
OFT,B,1.0,0.0997,37,121,1,1
OFT,B,1.0,0.0997,38,125,1,1
OFT,B,1.0,0.0997,39,93,1,1
OFT,B,1.0,0.0997,40,169,1,0
OFT,B,1.0,0.0997,41,149,1,1
OFT,B,1.0,0.0997,42,199,1,1
OFT,B,1.0,0.0997,43,63,1,1
OFT,B,1.0,0.0997,44,159,1,1
OFT,B,1.0,0.0997,45,117,1,1
OFT,B,1.0,0.0997,46,124,1,1
OFT,B,1.0,0.0997,47,106,1,1
OFT,B,1.0,0.0997,48,196,1,1
OFT,B,1.0,0.0997,49,162,1,1
OFT,B,1.0,0.0997,50,133,1,1
OFT,B,3.0,0.1039,1,126,1,1
OFT,B,3.0,0.1039,2,134,1,1
OFT,B,3.0,0.1039,3,176,1,1
OFT,B,3.0,0.1039,4,71,1,1
OFT,B,3.0,0.1039,5,189,1,1
OFT,B,3.0,0.1039,6,158,1,1
OFT,B,3.0,0.1039,7,181,1,1
OFT,B,3.0,0.1039,8,74,1,0
OFT,B,3.0,0.1039,9,107,1,1
OFT,B,3.0,0.1039,10,166,1,0
OFT,B,3.0,0.1039,11,147,1,1
OFT,B,3.0,0.1039,12,198,1,1
OFT,B,3.0,0.1039,13,84,1,1
OFT,B,3.0,0.1039,14,106,1,1
OFT,B,3.0,0.1039,15,116,1,0
OFT,B,3.0,0.1039,16,137,1,1
OFT,B,3.0,0.1039,17,110,1,1
OFT,B,3.0,0.1039,18,187,1,0
OFT,B,3.0,0.1039,19,186,1,1
OFT,B,3.0,0.1039,20,104,1,1
OFT,B,3.0,0.1039,21,182,1,0
OFT,B,3.0,0.1039,22,104,1,0
OFT,B,3.0,0.1039,23,74,1,1
OFT,B,3.0,0.1039,24,179,1,1
OFT,B,3.0,0.1039,25,104,1,0
OFT,B,3.0,0.1039,26,165,1,0
OFT,B,3.0,0.1039,27,103,1,0
OFT,B,3.0,0.1039,28,137,1,0
OFT,B,3.0,0.1039,29,192,1,0
OFT,B,3.0,0.1039,30,176,1,0
OFT,B,3.0,0.1039,31,143,1,0
OFT,B,3.0,0.1039,32,185,1,1
OFT,B,3.0,0.1039,33,176,1,1
OFT,B,3.0,0.1039,34,154,1,1
OFT,B,3.0,0.1039,35,120,1,0
OFT,B,3.0,0.1039,36,172,1,0
OFT,B,3.0,0.1039,37,121,1,1
OFT,B,3.0,0.1039,38,125,1,1
OFT,B,3.0,0.1039,39,93,1,1
OFT,B,3.0,0.1039,40,169,1,1
OFT,B,3.0,0.1039,41,149,1,0
OFT,B,3.0,0.1039,42,199,1,1
OFT,B,3.0,0.1039,43,63,1,1
OFT,B,3.0,0.1039,44,159,1,1
OFT,B,3.0,0.1039,45,117,1,1
OFT,B,3.0,0.1039,46,124,1,1
OFT,B,3.0,0.1039,47,106,1,1
OFT,B,3.0,0.1039,48,196,1,1
OFT,B,3.0,0.1039,49,162,1,0
